"","SchoolNo","z_s10_ELA","z_s10_math","z_s09_ELA","z_s09_math","z_f08_ELA","z_f08_math","z_05_ELA","z_05_math","z_06_ELA","z_06_math","z_07_ELA","z_07_math","avg_teach_salary_08","Attendance_0809","Attendance_0708","LATCOD08","LONCOD08","FTE08","MEMBER08","PUPTCH08","ulocal08_dum12","urban08","suburb08","TITLEI08","STITLI08","CHARTR08","study","trt","male","white","sped","frpl","lep","county.pop"
"343","1981",19.6750946044922,15.2450218200684,18.6454677581787,14.8903388977051,18.7152786254883,17.0959091186523,17.7944736480713,17.2601261138916,18.5250930786133,16.7318210601807,18.9466228485107,16.368673324585,48831,95.83,95.49,38.2914,-85.8145,16.2,240,14.8,0,0,1,1,1,0,0,0,0.540540516376495,0.702702701091766,0.288288295269012,0.900900900363922,0,74578
"344","1985",19.6834831237793,15.1382856369019,19.1567554473877,15.8985328674316,19.4385776519775,17.780029296875,19.083288192749,18.3670825958252,19.2415714263916,17.6207370758057,20.4200592041016,18.0056858062744,48831,96.71,96.25,38.2995,-85.8041,16,253,15.8,0,0,1,1,1,0,0,0,0.5,0.808333337306976,0.174999997019768,0.666666686534882,0,74578
"345","2009",20.8578224182129,16.3895702362061,20.1182804107666,15.9520816802979,19.8819007873535,17.8082675933838,19.514274597168,18.7358913421631,20.1610336303711,18.055196762085,20.4604740142822,17.4578456878662,39239,96.28,96.34,40.1448,-87.3939,26.3,488,18.6,0,0,0,1,1,0,0,0,0.541125535964966,0.97835499048233,0.112554110586643,0.363636374473572,0.00432900432497263,74578
"346","2013",19.0007400512695,16.8526382446289,17.0874519348145,16.7697658538818,22.1322288513184,18.8545894622803,20.6722793579102,17.7933788299561,20.9837627410889,17.5529918670654,21.6400146484375,18.4342842102051,39239,95.41,96.37,40.1448,-87.3964,12.2,224,18.4,0,0,0,1,0,0,0,0,0.55045872926712,0.967889904975891,0.0642201825976372,0.311926603317261,0,74578
"347","2021",19.7493114471436,16.5133361816406,19.071662902832,16.2566986083984,20.7582817077637,18.4186305999756,20.3439140319824,18.9831428527832,20.7664108276367,18.3061676025391,21.4753131866455,18.763843536377,42190,95.94,96.16,40.1045,-87.2268,47,670,14.3,0,0,0,1,1,0,0,0,0.468671679496765,0.962406039237976,0.14536340534687,0.471177935600281,0.00250626564957201,74578
"348","2022",18.4457893371582,15.3660774230957,17.4400787353516,15.6314191818237,21.3405838012695,17.6678657531738,19.9041366577148,16.5114097595215,20.0151252746582,16.7826499938965,20.4213600158691,17.3689002990723,42190,95.18,95.59,40.1131,-87.2514,42.7,640,15,0,0,0,0,0,0,0,0,0.567567586898804,0.968468487262726,0.0405405387282372,0.378378391265869,0.00900900922715664,74578
"349","2053",18.6209621429443,15.7720489501953,17.4231128692627,15.6022367477417,21.2806663513184,17.4684238433838,20.6024131774902,16.703067779541,20.2237205505371,16.320728302002,20.7886009216309,17.1965808868408,39904,95.29,95.57,40.2798,-87.254,28.8,419,14.5,0,0,0,0,0,0,0,0,0.536912739276886,0.986577153205872,0.120805367827415,0.369127511978149,0,74578
"350","2057",19.9091186523438,16.7958297729492,18.708309173584,16.8578224182129,20.6086273193359,18.2256755828857,20.7734661102295,19.0559635162354,20.9167556762695,18.1701431274414,21.5584335327148,18.1089172363281,39904,95.17,95.57,40.2901,-87.2443,32.7,476,14.6,0,0,0,1,1,0,0,0,0.538167953491211,0.977099239826202,0.221374049782753,0.416030526161194,0.011450381949544,74578
"351","2082",19.1665191650391,17.1488952636719,18.0798816680908,16.1802291870117,20.8234252929688,18.6142387390137,20.364351272583,18.7183971405029,20.2892379760742,17.7808876037598,21.1391677856445,18.3970680236816,49132,94.77,95.29,39.4888,-85.1987,35.8,577,16.1,0,0,0,1,1,0,1,1,0.533527672290802,0.997084558010101,0.154518947005272,0.620991230010986,0,17240
"352","2123",19.5043792724609,17.0930118560791,18.4848213195801,17.0647239685059,21.7993011474609,19.1171607971191,20.6818237304688,17.8818607330322,20.7116165161133,17.772123336792,21.7097110748291,18.3871841430664,49132,96.26,94.92,39.4304,-84.9368,24,440,18.3,0,0,0,0,0,0,0,0,0.495391696691513,0.98390805721283,0.144827589392662,0.383908033370972,0,17240
