"","SchoolNo","z_s09_ELA","z_s09_math","Attendance_0809","FTE08","MEMBER08","PUPTCH08","county.pop","TITLEI08","STITLI08","male","white","sped","frpl","lep","study","trt","N.EXPT","prob"
"1330",8109,0.235271893002284,-1.63675349538961,-1.10053076205498,-0.888671627750845,-0.932308232969849,-0.456619749375462,-0.760805092823182,0.54307375891987,0.998349997916735,-2.25194431774885,0.0294566734620199,0.616614833408396,0.874920497864145,0.307101807716201,0,0,1,0.00419945306457459
"1331",8111,0.909324802529245,-0.0994827900855465,-0.0348836076540675,-0.126819119492042,0.117235623365545,0.676347249382216,-0.760805092823182,0.54307375891987,0.998349997916735,-0.606747264900231,-0.613419098019156,-0.22349311953254,-0.028235342936789,1.64956879793801,0,0,1,0.157972226552172
"1332",8117,0.0904964671880286,-1.13283431252181,-1.08931342358761,0.150218156238432,-0.0233282859650885,-0.421214530664285,-0.760805092823182,0.54307375891987,0.998349997916735,0.0878669224899407,-0.540535215230235,0.981355917395196,1.21974211779536,2.43234537014923,0,0,1,0.0702671327553185
"1333",8119,0.591746938856571,-0.64252264732389,0.469896623377951,-0.0142727262265369,0.0094699595453926,0.0744585312921986,-0.760805092823182,0.54307375891987,0.998349997916735,-0.661455297282174,-0.387893427874097,0.102755090793493,0.433632364074227,1.40137620779915,0,0,1,0.178595392271799
"1334",8129,0.545503932832436,2.61493423284783,1.74867320865906,2.73878520134505,2.55367671842985,0.00364809386984396,-0.760805092823182,-1.84015427297776,-1.00099113547736,-2.3669185806653,-0.126373828747298,-0.794902503395976,-1.66208252796888,-0.483693129553258,0,0,1,6.34325611740196e-07
"1335",8135,1.6236340209251,3.63435953776811,1.31119700843131,-0.178763608691506,-0.163892195295722,0.00364809386984396,-0.760805092823182,-1.84015427297776,-1.00099113547736,-0.688473719961998,-0.325500052604697,-0.679448903714989,-1.58213889961414,0.726623403523518,0,0,1,1.72775551275397e-14
"1336",8138,1.631781672646,0.0582489532580787,0.525983315714838,0.548459240100988,0.510814569491317,0.00364809386984396,-0.760805092823182,0.54307375891987,-1.00099113547736,0.324722680589623,-0.270145330180915,0.670431892863108,-1.50159936678268,1.07469043474851,0,0,1,0.00481109759916859
"1337",8154,0.790922974180277,0.652820536784887,0.122159130889227,0.106931081905545,-0.0982957042747594,-0.492024968086639,-0.760805092823182,0.54307375891987,-1.00099113547736,-0.235460220315287,0.52364225301451,0.193476625029524,-0.377592487971364,0.0176217194739296,0,0,1,0.108760438887887
"1338",8155,-1.57057812691894,0.0608801048491437,-2.60365411668365,0.34933869816971,0.295283241851013,-0.0671623435525106,-0.760805092823182,-1.84015427297776,-1.00099113547736,1.19819377926745,0.20976772542018,-0.54225749752798,-0.881727136732874,-0.388135684829611,0,0,1,0.00709811069099208
"1339",8163,0.738272453532875,-0.201657746121906,0.559635331116974,1.51808970515765,1.7056077988017,0.499321155826329,-0.760805092823182,0.54307375891987,-1.00099113547736,1.42285124974273,0.763782978689563,0.405104717260923,-0.529635239838545,-0.558738239841524,0,0,1,0.236610829774211
